id,name,type,typecode,biz_type,lon,lat
B0FFLKL8AE,综云修车厂,汽车维修;汽车维修;汽车维修,030000,[],116.42193065807882,39.94653996781809
B0G2T17YBA,宏利源汽车快修,汽车维修;汽车维修;汽车维修,030000,[],116.42884232097238,39.947668836923135
B0FFGDK1VP,大阳电动汽车4S店,汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,020000|030000,[],116.45255886422378,39.94797178137276
B0GUDHRO2T,鸿盛汽修轮胎电瓶,汽车维修;汽车维修;汽车维修,030000,[],116.45739708689747,39.94546241471296
B0FFFWEGP9,北京众帮伟业汽车服务有限公司,公司企业;公司;公司|汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,170200|020000|030000,[],116.49058763572255,39.94552289548547
B0FFHUF7G5,北京冶建双雅汽车服务有限公司,汽车维修;汽车维修;汽车维修,030000,[],116.49003755151195,39.945499258031234
B0FFGOA1PN,老头修车,汽车维修;汽车维修;汽车维修,030000,[],116.49785625006935,39.94513858684903
B0FFMAOTPR,小拇指,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.50019782362838,39.94725546610579
B0G17SX8QD,一汽大众,汽车维修;汽车维修;汽车维修,030000,[],116.50830075773358,39.94891921302261
B0FFGOLYCD,祥龙博瑞东坝汽车园区,汽车维修;汽车维修;汽车维修,030000,[],116.5114425031955,39.94627736776357
B000A836JI,北京三元桥丰田汽车销售服务有限公司,汽车销售;丰田特约销售;一汽丰田销售|汽车维修;丰田特约维修;一汽丰田维修,021001|031101,[],116.44346840537779,39.9554918197691
B000A83J0L,北京博瑞祥恒汽车销售有限公司,汽车销售;大众特约销售;一汽-大众销售|汽车维修;大众特约维修;一汽-大众维修,020102|030202,[],116.44249392659421,39.95514089430808
B0FFI9Q20V,伯乐汽修(国展店),汽车维修;汽车维修;汽车维修,030000,[],116.43731689694079,39.9580130685583
B0FFHHBCFD,大众车间,汽车维修;汽车维修;汽车维修,030000,[],116.44252194016187,39.95560193149102
B0FFH1DRXM,北京汇通圆汽车服务公司(宽途汽车店),汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],116.44213210678788,39.9543032159058
B0FFFW4Z6G,一汽大众奥迪,汽车维修;汽车维修;汽车维修,030000,[],116.45096614209103,39.955954825902026
B0FFMCWE4E,宵云家汽车修理港湾,汽车维修;汽车维修;汽车维修,030000,[],116.45481168120618,39.95604574993749
B000A836V8,东风日产北京东风南方亮马专营店,汽车维修;日产特约维修;东风日产维修|汽车销售;日产特约销售;东风日产销售,030802|020701,[],116.47209589063054,39.95366381768046
B000A81FSC,东方华辉汽修,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.47589621801268,39.95702640708181
B0FFG73EW2,北京东风南方亮马专营店,汽车销售;日产特约销售;东风日产销售|汽车维修;日产特约维修;东风日产维修,020701|030802,[],116.47187706481276,39.95400719420422
B000A836UX,首汽丰田汽车销售服务有限公司,汽车维修;丰田特约维修;一汽丰田维修|汽车销售;丰田特约销售;一汽丰田销售,031101|021001,[],116.48232787968809,39.9581929632029
B0FFG9W56J,北京宝信行汽车销售服务有限公司,汽车销售;宝马特约销售;宝马销售|汽车维修;宝马特约维修;宝马维修,020600|030700,[],116.48345624694849,39.95709231638894
B0G26OPCK0,北京宝信行汽车服务有限公司-接送点,汽车维修;汽车维修;汽车维修,030000,[],116.48340099507799,39.95744914006468
B000A9Q6ZQ,北京杰宇云杰汽车技术服务有限公司,汽车维修;汽车维修;汽车维修,030000,[],116.48421195910501,39.958118499260344
B0HGBUPNY7,奥科兴威汽车修理公司,汽车维修;汽车维修;汽车维修,030000,[],116.49208418978112,39.9546060004976
B0FFFQ7PL9,陈大姐汽修,汽车维修;汽车维修;汽车维修,030000,[],116.51654991157031,39.952158542900364
B0FFLM1MKX,元通修车厂(三元桥店),汽车维修;汽车维修;汽车维修,030000,[],116.43960743887476,39.96516096058739
B0FFJ1TYOA,朝阳汽修,汽车维修;汽车维修;汽车维修,030000,[],116.44369553383963,39.96707182132882
B0FFJ261YT,元太光汽修服务,汽车维修;汽车维修;汽车维修,030000,[],116.44542472028013,39.96243954249421
B0FFH0YZSU,北京极光星徽汽车销售服务有限公司,汽车销售;梅赛德斯-奔驰特约销售;梅赛德斯-奔驰销售|汽车维修;梅赛德斯-奔驰特约维修;梅赛德斯-奔驰维修,020900|031000,[],116.45651753538013,39.96752240096837
B0FFL9IGLQ,快修专享服务,汽车维修;汽车维修;汽车维修,030000,[],116.45642217532269,39.968006150335526
B0FFG9TURX,北京中航凯普汽车维修有限公司,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.45074743447574,39.964412999865196
B0GDD5UI02,米其林轮胎24小时补胎救援维修,汽车服务;汽车救援;汽车救援|汽车维修;汽车维修;汽车维修,010700|030000,[],116.45866715362102,39.96917162247036
B0GK3ZSZ3K,朝阳汽车补胎换胎汽车电瓶,汽车维修;汽车维修;汽车维修,030000,[],116.47173208974853,39.96564433396648
B0FFKDQR0R,电脑洗车汽车装饰美容维修保养,汽车维修;汽车维修;汽车维修,030000,[],116.47675785658755,39.969153391964824
B0FFH3QQCE,北京骏宝捷汽车销售服务有限公司,汽车销售;大众特约销售;上海大众销售|汽车维修;大众特约维修;上海大众维修|汽车销售;大众特约销售;进口大众销售|汽车维修;大众特约维修;进口大众维修,020101|030201|020104|030204,[],116.48616424607923,39.9667309242478
B0FFMEGOC3,易捷汽车服务(酒仙桥店),汽车维修;汽车维修;汽车维修,030000,[],116.47814127262394,39.96654146874523
B000A7H3CD,奔宝奔驰汽车修理服务有限公司,汽车维修;梅赛德斯-奔驰特约维修;梅赛德斯-奔驰维修|汽车维修;汽车综合维修;汽车综合维修,030000|030100,[],116.49026336686552,39.96194028584127
B0HBOBI78H,北京友联汽车修理服务有限公司,汽车维修;汽车维修;汽车维修,030000,[],116.4181620667236,39.97205997174542
B000A837GS,北京德奥达,汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,020000|030000,[],116.44602847832549,39.97729021369545
B000A837GU,北京德奥达一众汽车销售有限公司,汽车销售;大众特约销售;一汽-大众销售|汽车维修;大众特约维修;一汽-大众维修,020102|030202,[],116.44615274793054,39.97783845264336
B000A7WEIQ,德奥达汽车销售有限公司二手车中心,汽车服务;二手车交易;二手车交易|汽车维修;汽车维修;汽车维修,011000|030000,[],116.4468796439948,39.97862995792315
B0FFHMRAFA,北京德奥达奔驰商务车,汽车维修;汽车维修;汽车维修,030000,[],116.44575471802352,39.977415635655284
B000A85LLJ,北京海之沃汽车服务有限公司,汽车销售;吉利特约销售;沃尔沃销售|汽车维修;吉利特约维修;沃尔沃维修,022301|032401,[],116.45358525514598,39.977298013763146
B0FFGVUPHU,奥迪喷漆,汽车维修;汽车维修;汽车维修,030000,[],116.44773294620508,39.979182763056976
B000A8377M,广汽本田航天店,汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,020000|030000,[],116.45278278561503,39.977686127641306
B0FFHRBJBA,北京广汽航天汽车销售服务有限责任公司,汽车维修;本田特约维修;广汽本田维修|汽车销售;本田特约销售;广汽本田销售,030301|020201,[],116.45264941427254,39.97745982774844
B0FFI9QM7X,望京壳牌换油中心(望京店),汽车维修;汽车维修;汽车维修,030000,[],116.46273742035866,39.9777226292428
B000A837AW,北京奥之杰奥迪服务有限公司,汽车维修;奥迪特约维修;奥迪维修|汽车维修;汽车综合维修;汽车综合维修|公司企业;公司企业;公司企业,030400|030100|170000,[],116.4672079415487,39.975360550661
B0FFGYVAF8,自由港汽车服务中心,汽车维修;汽车维修;汽车维修,030000,[],116.4604278135521,39.97748771487816
B000A85DZE,北京奥美达汽车服务有限公司,汽车维修;汽车维修;汽车维修,030000,[],116.46704440937793,39.9750871211163
B0FFH009N7,北京现代特约服务站,汽车维修;汽车维修;汽车维修,030000,[],116.46238286551268,39.9727289106621
B0FFH2U8IT,奥迪专修店,汽车维修;汽车维修;汽车维修,030000,[],116.46690693688012,39.97506175229678
B0G0BD27O6,北京渊源涞汽修,汽车维修;汽车维修;汽车维修,030000,[],116.46713170967156,39.975103355534486
B0FFILXVJ8,北京首汽腾瑞汽车销售有限公司,汽车维修;现代特约维修;北京现代维修|汽车销售;汽车销售;汽车销售,031702|020000,[],116.46207185002041,39.97257811391752
B0HAYZYKQM,宇通服务站北京首汽(集团)股份有限公司腾宇客车修理厂,汽车维修;汽车维修;汽车维修,030000,[],116.46210096647503,39.97242119520356
B0FFG5A4FK,北京奥之杰奔驰服务有限公司,汽车维修;梅赛德斯-奔驰特约维修;梅赛德斯-奔驰维修,030000,[],116.4666329820948,39.975128013856825
B0FFFAHH66,世纪艺佳宝成行,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.46797755692323,39.975837612039236
B000A837AU,天和诚汽车修理有限公司,汽车维修;汽车维修;汽车维修,030000,[],116.46799962544188,39.97590466919614
B0FFILIKSI,北京康达健综合服务部,汽车维修;汽车维修;汽车维修,030000,[],116.46819526501938,39.97624718640051
B0FFJRXLXR,德文汽修站,汽车维修;汽车维修;汽车维修,030000,[],116.48714237254691,39.97935431901998
B0GR77HVFT,小秦汽修,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.49553808632703,39.97246260253161
B0HBKNO2YF,奔驰专业服务,汽车维修;汽车维修;汽车维修,030000,[],116.48885486471752,39.979310405381355
B000A9JVSP,北京市旭日光吉停车场有限公司,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,[],116.4939321177779,39.97950352933586
B0G17SU7LU,北京墨梅汽车维修中心,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.49163341036008,39.97931467950632
B0FFME4I8T,瑞恒修车补胎换电瓶送油搭电,汽车维修;汽车维修;汽车维修,030000,[],116.43212706130929,39.98512329035883
B0FFFZCEHG,北京卓越德宝汽车销售服务有限公司,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.44688015746034,39.982485803169176
B0FFGVUXGV,北京大虎汽车技术服务有限公司,汽车维修;汽车维修;汽车维修,030000,[],116.44715800059215,39.98190041923246
B0FFHOOZFU,瑞通嘉业汽修,汽车维修;汽车维修;汽车维修,030000,[],116.44892893686932,39.98223224222391
B0H63LAIXI,北京众鑫恒业,汽车维修;汽车维修;汽车维修,030000,[],116.44800639430512,39.981701252108046
B0G17SV2A8,自动变速箱专修,汽车维修;汽车维修;汽车维修,030000,[],116.44726330212447,39.98182764735271
B0GU95UOVT,安众行奔宝奥汽车维修保养望京店,汽车维修;汽车维修;汽车维修,030000,[],116.4490302431472,39.982093470474624
B0FFLJT8M3,京车在线汽车服务中心,汽车维修;汽车维修;汽车维修,030000,[],116.46558940810678,39.99094058318351
B0GD2MS95R,24小时补胎(米其林轮胎),汽车维修;汽车维修;汽车维修,030000,[],116.46559843675699,39.990958606452416
B000A9N3XX,鸿云祥(北京)汽车服务有限公司,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关,030000|010000,[],116.46474795690533,39.98759849095149
B000A83LJW,北京方圆诚汽车维修中心(望京路店),汽车维修;汽车综合维修;汽车综合维修,030100,[],116.46984768657593,39.98725625532852
B0FFHQ8HSD,佳通轮胎(方圆汽车维修中心),汽车服务;汽车服务相关;汽车服务相关|汽车维修;汽车维修;汽车维修,010000|030000,[],116.46990288806916,39.98720440920333
B000A80VXG,北京共创快克汽车修理厂,汽车维修;汽车维修;汽车维修,030000,[],116.49528639841034,39.98643628861199
B000A80EQ9,北京市朝阳兴达汽车维修中心,汽车维修;汽车维修;汽车维修,030000,[],116.49238335892494,39.98656062188786
B0G3ZYMHA1,北京共创快克汽车修理有限公司,汽车维修;汽车综合维修;汽车综合维修,030100,[],116.49528938667204,39.98662228990375
B0FFHBZD7V,奔驰精修,汽车维修;梅赛德斯-奔驰特约维修;梅赛德斯-奔驰维修,030000,[],116.49540382169961,39.986615631557314
B0G1ZM2Y5U,北京祥和老友汽车维修中心,汽车维修;汽车维修;汽车维修,030000,[],116.49229802659312,39.986626364662015
